feature	mean	std
comp_frac_A	0.08420661421728504	0.05789738046049518
comp_frac_C	0.011668765107317179	0.019724428787222713
comp_frac_D	0.05789677342464771	0.04788156872907556
comp_frac_E	0.07866325762775564	0.06283860479033895
comp_frac_F	0.029790454195021177	0.029360579166450667
comp_frac_G	0.07406605587639818	0.056200779471746266
comp_frac_H	0.020824742699574253	0.024786230028927127
comp_frac_I	0.03726718352015455	0.029447745020026894
comp_frac_K	0.06828835581537136	0.05804101866206459
comp_frac_L	0.07375121642429387	0.044999775455312856
comp_frac_M	0.027661081131820104	0.029440218424971496
comp_frac_N	0.04237997830661913	0.046552478988767576
comp_frac_P	0.06490030913974393	0.055830929873848585
comp_frac_Q	0.04774859855222112	0.0425600964395426
comp_frac_R	0.05700410218336697	0.04893968630325194
comp_frac_S	0.08306400464757051	0.053148617423948816
comp_frac_T	0.05408419538913827	0.037207088460679855
comp_frac_V	0.053855302337627683	0.03889341684341371
comp_frac_W	0.008855407840682646	0.01730579020482254
comp_frac_Y	0.02402360156339064	0.026743326461504072
comp_frac_polar	0.25977028470244046	0.08984746384392053
comp_frac_hydrophobic	0.1925347834138962	0.07529650276750768
comp_frac_aromatic	0.06266946359909446	0.04419326378276435
comp_frac_KR	0.12529245799873834	0.07377646460373705
comp_frac_DE	0.13656003105240333	0.08366320167610268
comp_FCR	0.26185248905114167	0.1046121078770512
comp_FCE	0.32675279819088565	0.10677752986045405
comp_frac_disorder_promoting	0.5579412980597128	0.11550871390389016
comp_cum_patch_A	5.452817605868623	11.368616437821984
comp_cum_patch_C	0.21607202400800266	0.8439386946461795
comp_cum_patch_D	2.1773924641547184	4.349273632466202
comp_cum_patch_E	4.487495831943981	8.507049057053772
comp_cum_patch_F	0.7765921973991331	1.9231931298470812
comp_cum_patch_G	4.4001333777925975	9.797683987524605
comp_cum_patch_H	0.5941980660220073	1.8861509847557787
comp_cum_patch_I	1.4364788262754251	3.4387727643512345
comp_cum_patch_K	3.227075691897299	6.295289035404744
comp_cum_patch_L	4.57185728576192	10.070148503470056
comp_cum_patch_M	0.3904634878292764	1.2178191353396979
comp_cum_patch_N	1.519839946648883	3.982144606400081
comp_cum_patch_P	3.624208069356452	9.898980963012555
comp_cum_patch_Q	2.5838612870956985	10.228966885758275
comp_cum_patch_R	2.5401800600200066	5.821191016954619
comp_cum_patch_S	5.349116372124041	11.087656970636184
comp_cum_patch_T	2.4594864954984996	5.959260032066054
comp_cum_patch_V	2.5865288429476494	6.07141273559559
comp_cum_patch_W	0.09903301100366789	0.5111583181226973
comp_cum_patch_Y	0.6345448482827609	1.858755508914585
comp_ratio_RK	24908303.980421778	169684160.00088513
comp_ratio_ED	14538180.904108245	75524475.68024789
comp_NCPR	-0.011267573053665013	0.11807329492211881
comp_pI	6.9909387307989475	2.5848989938386016
comp_hydropathy_KD	-0.6690075960597429	0.6157741119903911
comp_PPII	0.39071673762936504	0.04217067457459352
