prob_col	feature	pearson_r	p_value	n
prob_ensemble	Rg_mean	-0.005291131380749995	0.9645636633035664	73
prob_ensemble	Rg_std	0.061135845127313355	0.6073845838730397	73
prob_ensemble	REE_mean	-0.0005355099241574623	0.9964123821852929	73
prob_ensemble	REE_std	0.03312019211917882	0.7808809431904239	73
prob_ensemble	asphericity_mean	-0.0658073812142615	0.5801578160691305	73
prob_ensemble	asphericity_std	-0.1608133833512841	0.17410230318986927	73
prob_ensemble	entropy_nats	-0.08016738940316931	0.5001747973571714	73
prob_ensemble	entropy_norm	-0.08016738940316913	0.5001747973571744	73
prob_ensemble	RMSD_centroid_mean	-0.003727157849511789	0.9750340273684353	73
prob_ensemble	RMSD_centroid_std	0.06012982146705848	0.6133201564986287	73
prob_gnn	Rg_mean	-0.07899901304987869	0.5064615220313664	73
prob_gnn	Rg_std	-0.006658378533015742	0.9554151630269776	73
prob_gnn	REE_mean	-0.05347847066129737	0.6531750858815973	73
prob_gnn	REE_std	-0.025717452318440692	0.8290086328050119	73
prob_gnn	asphericity_mean	0.08683664036665129	0.46507939479129357	73
prob_gnn	asphericity_std	-0.10519838242388521	0.3757451383169114	73
prob_gnn	entropy_nats	-0.2426055874788826	0.038635131569740105	73
prob_gnn	entropy_norm	-0.24260558747888272	0.038635131569740105	73
prob_gnn	RMSD_centroid_mean	-0.07165704148750318	0.5468771865826157	73
prob_gnn	RMSD_centroid_std	-0.0031266855531436807	0.979055236368343	73
prob_rf	Rg_mean	0.05981412127717212	0.6151879492893355	73
prob_rf	Rg_std	0.11721621109639586	0.32333881990353164	73
prob_rf	REE_mean	0.05799286443243235	0.6260105541842081	73
prob_rf	REE_std	0.08819640478003789	0.4580922015635224	73
prob_rf	asphericity_mean	-0.17531823853386053	0.13791959042222582	73
prob_rf	asphericity_std	-0.14376489902246206	0.22496072156741695	73
prob_rf	entropy_nats	0.02159631420461691	0.8560886654851648	73
prob_rf	entropy_norm	0.021596314204617252	0.8560886654851659	73
prob_rf	RMSD_centroid_mean	0.061161083766471995	0.6072359981918396	73
prob_rf	RMSD_centroid_std	0.11626069469925471	0.3273261807808199	73
