feature	coefficient	abs_coefficient
pat_pro_pro	-0.7359499383081646	0.7359499383081646
comp_ratio_ED	0.6899392168030563	0.6899392168030563
comp_cum_patch_P	0.6713254129812883	0.6713254129812883
pat_ala_ala	0.6505457742963322	0.6505457742963322
pat_aro_pro	-0.5333567963972353	0.5333567963972353
comp_frac_A	-0.5277008759658841	0.5277008759658841
pat_neg_ala	-0.501007537803238	0.501007537803238
pat_aro_ala	0.4949129426044158	0.4949129426044158
comp_frac_W	-0.4846990158633969	0.4846990158633969
pat_pol_gly	0.42460293681506256	0.42460293681506256
comp_cum_patch_Q	0.4239214158909927	0.4239214158909927
comp_frac_C	-0.38808943604155427	0.38808943604155427
comp_cum_patch_K	0.37283034660109793	0.37283034660109793
comp_frac_G	0.36575678392313327	0.36575678392313327
pat_pos_pos	-0.34957777063652357	0.34957777063652357
comp_frac_S	0.3477489880692323	0.3477489880692323
pat_pol_pos	0.34519584724983576	0.34519584724983576
comp_cum_patch_T	-0.3421972470729553	0.3421972470729553
comp_cum_patch_I	-0.34043655717462584	0.34043655717462584
pat_hyd_pro	0.31880651926422154	0.31880651926422154
pat_neg_neg	0.31652385886440476	0.31652385886440476
comp_cum_patch_S	0.31331872761519086	0.31331872761519086
pat_pos_pro	0.30711980151286844	0.30711980151286844
comp_cum_patch_E	0.3051655246279109	0.3051655246279109
comp_pI	0.30299837404722424	0.30299837404722424
pat_ala_gly	-0.3028971956154125	0.3028971956154125
comp_frac_L	-0.2913324655880472	0.2913324655880472
pat_pol_pol	-0.29066789247327385	0.29066789247327385
comp_frac_T	-0.27575353751952764	0.27575353751952764
pat_hyd_hyd	0.27026782709268143	0.27026782709268143
comp_frac_P	0.22641127095830002	0.22641127095830002
comp_cum_patch_D	0.1990703301560128	0.1990703301560128
comp_cum_patch_R	0.19835450187851922	0.19835450187851922
comp_frac_disorder_promoting	0.19242840784309878	0.19242840784309878
comp_frac_I	0.19218722060542068	0.19218722060542068
pat_ala_pro	0.19190776894415845	0.19190776894415845
comp_cum_patch_F	-0.18997050160591133	0.18997050160591133
pat_pol_ala	-0.18679132271634777	0.18679132271634777
comp_frac_K	-0.18493673281372078	0.18493673281372078
comp_cum_patch_G	-0.18213866724178854	0.18213866724178854
comp_cum_patch_L	0.1727740800985273	0.1727740800985273
comp_cum_patch_C	0.16907532494695524	0.16907532494695524
comp_frac_F	0.1648676104374799	0.1648676104374799
comp_frac_KR	-0.1634868718476381	0.1634868718476381
comp_ratio_RK	-0.14713835406600392	0.14713835406600392
comp_cum_patch_H	-0.13727419839204882	0.13727419839204882
comp_cum_patch_M	-0.136252655447949	0.136252655447949
comp_frac_V	0.13411660785817764	0.13411660785817764
comp_FCR	-0.13363274907525882	0.13363274907525882
pat_pol_hyd	0.13285369043359596	0.13285369043359596
comp_cum_patch_A	-0.1287451472906412	0.1287451472906412
comp_cum_patch_Y	-0.12224297898778623	0.12224297898778623
pat_pos_gly	-0.11259404702669364	0.11259404702669364
pat_hyd_gly	0.11158677148603457	0.11158677148603457
pat_aro_gly	-0.10653243472821528	0.10653243472821528
pat_pro_gly	0.1045039954192681	0.1045039954192681
pat_hyd_ala	0.10215601810619025	0.10215601810619025
comp_NCPR	-0.1018531534052106	0.1018531534052106
pat_neg_gly	0.09666560642444952	0.09666560642444952
pat_neg_pro	-0.09581061123562237	0.09581061123562237
comp_frac_Q	0.08550232503112101	0.08550232503112101
comp_hydropathy_KD	-0.07959087422819561	0.07959087422819561
pat_hyd_neg	-0.07782739502802592	0.07782739502802592
comp_frac_H	-0.07428345949031018	0.07428345949031018
comp_frac_aromatic	-0.07098076531059493	0.07098076531059493
comp_cum_patch_W	0.06964049355687182	0.06964049355687182
comp_PPII	0.06370872290530073	0.06370872290530073
pat_hyd_pos	0.054264905508105914	0.054264905508105914
pat_gly_gly	-0.05246812424739385	0.05246812424739385
pat_pol_aro	0.05121138309483209	0.05121138309483209
comp_frac_M	0.050067827779046455	0.050067827779046455
comp_frac_E	-0.04722364897080241	0.04722364897080241
comp_frac_DE	-0.040088313986786084	0.040088313986786084
pat_pos_aro	-0.04008017089286113	0.04008017089286113
comp_frac_polar	0.039526941501596254	0.039526941501596254
pat_pos_ala	0.03816125304794472	0.03816125304794472
pat_pol_neg	0.03599723356650809	0.03599723356650809
comp_frac_R	-0.03199566024986707	0.03199566024986707
comp_frac_Y	-0.024250697245850154	0.024250697245850154
pat_pol_pro	0.021596422823577	0.021596422823577
pat_hyd_aro	0.01925440956600386	0.01925440956600386
pat_neg_aro	0.01850393972648287	0.01850393972648287
pat_aro_aro	-0.013915304993909436	0.013915304993909436
comp_frac_D	-0.012401709186650824	0.012401709186650824
comp_frac_N	0.010361814751003588	0.010361814751003588
comp_cum_patch_V	-0.010305346049100926	0.010305346049100926
comp_frac_hydrophobic	-0.007454027453119235	0.007454027453119235
comp_FCE	0.00637325594696635	0.00637325594696635
comp_cum_patch_N	-0.0051437563649384095	0.0051437563649384095
pat_pos_neg	0.0010577102870916364	0.0010577102870916364
